filename,central wavelength - nm,FWHM - nm
10102-02B.txt,457.0050147639342,20.215349893446934
10102-02G.txt,514.5142318260204,30.117971254913815
10102-02R.txt,625.7080856945206,28.826125524299844
11915-03B.txt,462.25216533205037,18.787832459625626
11915-03G.txt,518.7728034510168,31.775914327427824
11915-03R.txt,634.8177600698695,31.684514622871248
11915-04B.txt,462.91866821315006,20.63179105322919
11915-04G.txt,517.4125596345585,33.51895347834413
11915-04R.txt,626.2646006984393,30.496878391970377
12714B.txt,459.7759111308476,19.56523605760899
12714G.txt,519.2343104473114,32.233848362193406
12714R.txt,626.2546123177751,28.854829819643165
